제목,날짜,긍정,부정,중립,제목_긍정,제목_부정,제목_중립
올해엔 부모님 돈 절대 받지 마세요[공찬규 세무사 1부],2023-09-12,0.002657491,0.024963329,0.97237927,9.84E-05,8.45E-05,0.9998172
‘이렇게’ 돈 쓰면 연봉 1억 보다 월급 200만 원이 낫습니다. [김경필 머니트레이너 3부],2023-09-12,0.000629013,0.002627204,0.9967438,0.000912353,0.000851042,0.99823654
"IMF 위기 오기 전과 너무 비슷합니다, 앞으로 한국의 주식, 부동산 시장은 이렇게 됩니다 [홍춘욱 대표 풀버전]",2023-09-11,0.004542971,0.031607352,0.9638497,0.000399873,0.005574759,0.9940253
“부자들은 절대 안 한다” 이 습관 있으면 부자될 사람도 반드시 가난해집니다.,2023-09-11,0.000885277,0.021392552,0.97772217,0.000323594,0.00032926,0.99934715
"대출 80% 받아 서울에 9억 아파트, 한번 더 영끌해도 괜찮을까요",2023-09-10,0.00526668,0.009663867,0.9850695,9.98E-05,0.000132974,0.99976724
"가계부채 3,000조 넘어섰다, 한국 경제위기 폭탄 터질까 [박연미 경제평론가 풀버전]",2023-09-09,0.004610719,0.038063608,0.9573257,0.000277917,0.005505322,0.9942167
"월급 300만원, 저라면 이렇게 1억 만듭니다[김경필 머니트레이너 2부]",2023-09-09,0.000605171,0.008851496,0.99054337,0.000198266,0.000296197,0.9995055
집값 반등이 시작됐습니다. 부동산 집값은 앞으로 이렇게 됩니다 [부룡 부동산 투자 전문가 풀버전],2023-09-08,0.003165555,0.014511397,0.98232305,7.07E-05,4.07E-05,0.99988866
2030이 자기도 모르게 가난해지는 이유[김경필 머니트레이너 1부],2023-09-08,0.000729974,0.013468107,0.98580194,0.000115805,0.000198513,0.99968565
젊을 때 돈 잘벌어도 인생이 꼬이는 사람들이 겪는 공통적인 과정 [상남자들],2023-09-08,0.00344112,0.05195036,0.9446085,0.000193135,0.000216008,0.9995908
일 잘하는 사람과 일 못하는 사람은 '이런' 차이가 있습니다 [독한자들 : 원씽 3부],2023-09-07,0.000917913,0.014693024,0.98438907,0.000109432,0.000145381,0.9997452
"""비상상황의 시작입니다"" 주택시장에 무슨 일이?",2023-09-07,0.015358631,0.09090799,0.8937334,7.20E-05,0.000792579,0.99913543
부자 되려고 '이것'만 했습니다. 인생을 바꿔준 방법 다 알려드립니다 [고명환 작가 4부],2023-09-06,0.000854454,0.01143197,0.9877135,0.00026775,0.00013892,0.9995933
"가장 빠르게 인생을 바꾸는 방법, 이 질문을 스스로에게 던지세요 [독한자들 : 원씽 2부]",2023-09-06,0.014157059,0.017863445,0.96797955,6.59E-05,3.28E-05,0.9999012
