제목,날짜,제목_긍정,제목_부정,제목_중립,스크립트_긍정,스크립트_부정,스크립트_중립
"[김현석의 월스트리트나우] 썩 나쁘지 않은 CPI, 썩 좋지 않은 아이폰",2023-09-14,0.0007976552,0.0022491487,0.9969531,0.03569977,0.081151515,0.8831488
"[간밤 월드뉴스 총정리 9월 14일] EU, 中 전기차에 관세?/ '조금 뜨거운' CPI 분석/ 원유재고 늘었다/ 성장 둔화 고백한 3M/ 테슬라 상승세, 호재는?",2023-09-14,5.93e-05,0.000112521,0.9998282,0.08538471,0.061749205,0.85286605
"[간밤 월드뉴스 총정리 9월 13일] ""中 살아난다""는 OPEC / ""브렌트유 연내 93달러"" / 애플 이벤트 분석 / 구글 반독점 소송 개시 / 세계 곡물 생산 감소 전망",2023-09-13,5.06e-05,5.21e-05,0.99989724,0.04969746,0.07927286,0.87102973
"[김현석의 월스트리트나우]  오라클이 망친 AI 붐 / ‘Sell the News’ 애플 급락 / 유가 폭등, CPI 불안↑",2023-09-13,4.0080995e-05,4.126899e-05,0.9999187,0.07400233,0.09321821,0.83277947
"[김현석의 월스트리트나우] 'AI 장착' 테슬라 10%폭등 WSJ ""9월 금리 동결"" 금리, 유가 다 올랐다?",2023-09-12,0.00036143017,0.00068897614,0.9989496,0.089409225,0.06405753,0.8465333
"[간밤 월드뉴스 총정리 9월 12일] 달러, 엔화 강세에 하락 / 중국 부양책 먹히나 / 기대인플레·소비심리 분석 / 테슬라 목표가 상향 왜? / 미국 국민과자 주인 바뀐다",2023-09-12,0.000107331,0.000970287,0.99892247,0.07406023,0.06804679,0.85789293
"[간밤 월드뉴스 총정리 9월 9일] 차분한 국채·유가·달러/ 아르헨 170억불 패소 / 톰 리 ""기술주 담을 때"" / 미국 개미 심리는?/ 스위프트 덕 본 호텔업",2023-09-09,4.45e-05,0.000144191,0.99981135,0.09972409,0.09507712,0.8051988
[김현석의 월스트리트나우] '블록버스터' 다음주 / 8월 CPI→3.6%로 반등? / 아이폰15 발표→주가 하락?,2023-09-09,6.3133455e-05,4.581092e-05,0.99989104,0.037979946,0.13486469,0.82715535
"[김현석의 월스트리트나우] 중국의 '애플 죽이기'! 젠슨황, 엔비디아 주식 매도...9월 불안, 기술주 덮치나",2023-09-08,5.2426596e-05,7.36475e-05,0.9998739,0.05467517,0.182232,0.7630929
"[간밤 월드뉴스 총정리 9월 8일] 中 수출 부진, 위안화 정책전환?/ 고용·노동비용 분석 / 댄 나일스, 애플 공매도 / 시급 되돌리는 월마트 / GM 파업 가능성↑",2023-09-08,4.6e-05,0.000361567,0.9995925,0.05136763,0.09438989,0.85424244
[간밤 월드뉴스 총정리 9월 7일] 캐나다 기준금리 동결 / 미국 서비스업 경기는 / 높아진 긴축 우려 / 중국 공무원 아이폰 못 쓰나 / 베이지북 분석,2023-09-07,5.4e-05,0.000121357,0.9998247,0.069691576,0.115019664,0.8152887
"[김현석의 월스트리트나우] 예상 못한 서비스 물가↑, 금리 5%・유가 90달러...나일스 ""애플 매도 타이밍""",2023-09-07,4.1316736e-05,9.681099e-05,0.99986184,0.05054348,0.09318274,0.8562738
[간밤 월드뉴스 총정리 9월 6일] 호주 기준금리 동결 / 유럽 서비스업 경기는 / 침체 확률 낮춘 GS / 미 7월 공장주문 / 브렌트유 90달러 돌파,2023-09-06,8.28e-05,0.000100214,0.99981695,0.039173707,0.062014867,0.89881146
[김현석의 월스트리트나우] 유가·금리·달러 급등… '미국만 좋은 죄?' 13일 CPI 발표 분수령,2023-09-06,5.0113165e-05,8.986479e-05,0.99986005,0.031412885,0.10604674,0.8625404
"[김현석의 월스트리트나우] 모두가 좋아한 실업률 급등, 월가 ""9월 인상 없다"" 그런데 왜 금리 뛰었나?",2023-09-02,9.5072464e-05,4.6239493e-05,0.9998586,0.026175126,0.07436201,0.8994628
"[간밤 월드뉴스 총정리 9월 2일] 8월 고용보고서 핵심은 / 노동참여율 늘어 실업률 늘었다?/ SEC, 비트코인 현물 ETF 승인 연기 / 8월 제조업 PMI 결과는",2023-09-02,4.18e-05,4.31e-05,0.9999151,0.021067757,0.05800664,0.9209257
[간밤 월드뉴스 총정리 9월 1일] 중국 제조업 8월도 위축 / PCE는 예상대로 / 고용보고서 D-1 핵심은 / 비트코인 현물 ETF 승인 거부 우려,2023-09-01,3.18e-05,6.19e-05,0.9999063,0.0892875,0.078270786,0.8324417
[김현석의 브레이킹 뉴스] 8월 고용보고서 9월 1일 오후 9시 30분 발표,2023-09-01,5.0671424e-05,3.5423578e-05,0.99991393,0.034547005,0.08095728,0.8844958
"[김현석의 월스트리트나우] JP모건 ""8월 고용, 12만5천 개로 급감""…골드만 ""황소 돌아온다""",2023-09-01,5.127666e-05,0.00011460485,0.99983406,0.042074155,0.065711275,0.8922146
"[간밤 월드뉴스 총정리 8월 31일] ADP 고용, 접객업이 줄었다 / GDP·임금·소득 분석 / 원유재고 감소 / 미 증시, 다시 공포에서 탐욕?/ 블랙스톤 S&P 500 편입?",2023-08-31,3.32e-05,0.000128495,0.99983835,0.068235815,0.06746624,0.8642979
[김현석의 브레이킹 뉴스] 7월 PCE(개인소비지출) 물가! 8월 31일 오후 9시 30분 발표,2023-08-31,3.739583e-05,3.860793e-05,0.99992394,0.02215249,0.0957269,0.88212067
"[김현석의 월스트리트나우] GDP 하향 조정, 고용 증가 둔화 ""나쁜 뉴스""에 상승 지속",2023-08-31,0.00021396419,0.0021527198,0.99763334,0.030227626,0.09724369,0.8725287
"[김현석의 월스트리트나우] '완벽한' 채용공고 급감…""Fed 기도에 대한 응답"" 주가 폭등, 금리 하락",2023-08-30,5.8096317e-05,0.00018883061,0.9997532,0.042318307,0.0904462,0.86723554
[간밤 월드뉴스 총정리 8월 30일] CB 신뢰지수 하락 / 채용도 예상 하회 /  채권금리·공포심리 하락 비트코인 현물 ETF 소송 승소/ 베스트바이·HP 실적,2023-08-30,4.19e-05,0.000167347,0.9997907,0.077023774,0.07420562,0.8487706
